Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths
Qinghai,China,35.7452,95.9956,1/26/20,1,0
Shaanxi,China,35.1917,108.8701,1/26/20,22,0
Shandong,China,36.3427,118.1498,1/26/20,46,0
Shanghai,China,31.202,121.4491,1/26/20,40,1
Shanxi,China,37.5777,112.2922,1/26/20,9,0
Sichuan,China,30.6171,102.7103,1/26/20,44,0
Tianjin,China,39.3054,117.323,1/26/20,14,0
Tibet,China,31.6927,88.0924,1/26/20,0,0
Xinjiang,China,41.1129,85.2401,1/26/20,4,0
Yunnan,China,24.974,101.487,1/26/20,16,0
Zhejiang,China,29.1832,120.0934,1/26/20,104,0
Anhui,China,31.8257,117.2264,1/27/20,70,0
Beijing,China,40.1824,116.4142,1/27/20,80,1
Chongqing,China,30.0572,107.874,1/27/20,110,0
Fujian,China,26.0789,117.9874,1/27/20,59,0
Gansu,China,37.8099,101.0583,1/27/20,14,0
Guangdong,China,23.3417,113.4244,1/27/20,151,0
Guangxi,China,23.8298,108.7881,1/27/20,46,0
Guizhou,China,26.8154,106.8748,1/27/20,7,0
Hainan,China,19.1959,109.7453,1/27/20,33,1
Hebei,China,39.549,116.1306,1/27/20,18,1
Heilongjiang,China,47.862,127.7615,1/27/20,21,1
Henan,China,33.882,113.614,1/27/20,128,1
Hong Kong,China,22.3,114.2,1/27/20,8,0
Hubei,China,30.9756,112.2707,1/27/20,1423,76
Hunan,China,27.6104,111.7088,1/27/20,100,0
Inner Mongolia,China,44.0935,113.9448,1/27/20,11,0
Jiangsu,China,32.9711,119.455,1/27/20,47,0
Jiangxi,China,27.614,115.7221,1/27/20,72,0
Jilin,China,43.6661,126.1923,1/27/20,6,0
Liaoning,China,41.2956,122.6085,1/27/20,27,0
Macau,China,22.1667,113.55,1/27/20,6,0
Ningxia,China,37.2692,106.1655,1/27/20,7,0
Qinghai,China,35.7452,95.9956,1/27/20,6,0
Shaanxi,China,35.1917,108.8701,1/27/20,35,0
Shandong,China,36.3427,118.1498,1/27/20,75,0
Shanghai,China,31.202,121.4491,1/27/20,53,1
Shanxi,China,37.5777,112.2922,1/27/20,13,0
Sichuan,China,30.6171,102.7103,1/27/20,69,0
Tianjin,China,39.3054,117.323,1/27/20,23,0
Tibet,China,31.6927,88.0924,1/27/20,0,0
Xinjiang,China,41.1129,85.2401,1/27/20,5,0
Yunnan,China,24.974,101.487,1/27/20,26,0
Zhejiang,China,29.1832,120.0934,1/27/20,128,0
Anhui,China,31.8257,117.2264,1/28/20,106,0
Beijing,China,40.1824,116.4142,1/28/20,91,1
Chongqing,China,30.0572,107.874,1/28/20,132,0
Fujian,China,26.0789,117.9874,1/28/20,80,0
Gansu,China,37.8099,101.0583,1/28/20,19,0
Guangdong,China,23.3417,113.4244,1/28/20,207,0
Guangxi,China,23.8298,108.7881,1/28/20,51,0
Guizhou,China,26.8154,106.8748,1/28/20,9,0
Hainan,China,19.1959,109.7453,1/28/20,40,1
Hebei,China,39.549,116.1306,1/28/20,33,1
Heilongjiang,China,47.862,127.7615,1/28/20,33,1
Henan,China,33.882,113.614,1/28/20,168,1
Hong Kong,China,22.3,114.2,1/28/20,8,0
Hubei,China,30.9756,112.2707,1/28/20,3554,125
Hunan,China,27.6104,111.7088,1/28/20,143,0
Inner Mongolia,China,44.0935,113.9448,1/28/20,15,0
Jiangsu,China,32.9711,119.455,1/28/20,70,0
Jiangxi,China,27.614,115.7221,1/28/20,109,0
Jilin,China,43.6661,126.1923,1/28/20,8,0
Liaoning,China,41.2956,122.6085,1/28/20,34,0
Macau,China,22.1667,113.55,1/28/20,7,0
Ningxia,China,37.2692,106.1655,1/28/20,11,0
Qinghai,China,35.7452,95.9956,1/28/20,6,0
Shaanxi,China,35.1917,108.8701,1/28/20,46,0
Shandong,China,36.3427,118.1498,1/28/20,95,0
Shanghai,China,31.202,121.4491,1/28/20,66,1
Shanxi,China,37.5777,112.2922,1/28/20,27,0
Sichuan,China,30.6171,102.7103,1/28/20,90,0
Tianjin,China,39.3054,117.323,1/28/20,24,0
Tibet,China,31.6927,88.0924,1/28/20,0,0
Xinjiang,China,41.1129,85.2401,1/28/20,10,0
Yunnan,China,24.974,101.487,1/28/20,44,0
Zhejiang,China,29.1832,120.0934,1/28/20,173,0
Anhui,China,31.8257,117.2264,1/29/20,152,0
Beijing,China,40.1824,116.4142,1/29/20,111,1
Chongqing,China,30.0572,107.874,1/29/20,147,0
Fujian,China,26.0789,117.9874,1/29/20,84,0
Gansu,China,37.8099,101.0583,1/29/20,24,0
Guangdong,China,23.3417,113.4244,1/29/20,277,0
Guangxi,China,23.8298,108.7881,1/29/20,58,0
Guizhou,China,26.8154,106.8748,1/29/20,9,0
Hainan,China,19.1959,109.7453,1/29/20,43,1
Hebei,China,39.549,116.1306,1/29/20,48,1
Heilongjiang,China,47.862,127.7615,1/29/20,38,1
Henan,China,33.882,113.614,1/29/20,206,2
Hong Kong,China,22.3,114.2,1/29/20,10,0
Hubei,China,30.9756,112.2707,1/29/20,3554,125
Hunan,China,27.6104,111.7088,1/29/20,221,0
Inner Mongolia,China,44.0935,113.9448,1/29/20,16,0
Jiangsu,China,32.9711,119.455,1/29/20,99,0
Jiangxi,China,27.614,115.7221,1/29/20,109,0
Jilin,China,43.6661,126.1923,1/29/20,9,0
Liaoning,China,41.2956,122.6085,1/29/20,39,0
Macau,China,22.1667,113.55,1/29/20,7,0
Ningxia,China,37.2692,106.1655,1/29/20,12,0
Qinghai,China,35.7452,95.9956,1/29/20,6,0
Shaanxi,China,35.1917,108.8701,1/29/20,56,0
Shandong,China,36.3427,118.1498,1/29/20,130,0
Shanghai,China,31.202,121.4491,1/29/20,96,1
Shanxi,China,37.5777,112.2922,1/29/20,27,0
Sichuan,China,30.6171,102.7103,1/29/20,108,1
Tianjin,China,39.3054,117.323,1/29/20,27,0
Tibet,China,31.6927,88.0924,1/29/20,0,0
Xinjiang,China,41.1129,85.2401,1/29/20,13,0
Yunnan,China,24.974,101.487,1/29/20,55,0
Zhejiang,China,29.1832,120.0934,1/29/20,296,0
Anhui,China,31.8257,117.2264,1/30/20,200,0
Beijing,China,40.1824,116.4142,1/30/20,114,1
Chongqing,China,30.0572,107.874,1/30/20,182,0
Fujian,China,26.0789,117.9874,1/30/20,101,0
Gansu,China,37.8099,101.0583,1/30/20,26,0
Guangdong,China,23.3417,113.4244,1/30/20,354,0
Guangxi,China,23.8298,108.7881,1/30/20,78,0
Guizhou,China,26.8154,106.8748,1/30/20,12,0
Hainan,China,19.1959,109.7453,1/30/20,46,1
Hebei,China,39.549,116.1306,1/30/20,65,1
Heilongjiang,China,47.862,127.7615,1/30/20,44,2
Henan,China,33.882,113.614,1/30/20,278,2
Hong Kong,China,22.3,114.2,1/30/20,10,0
Hubei,China,30.9756,112.2707,1/30/20,4903,162
Hunan,China,27.6104,111.7088,1/30/20,277,0
Inner Mongolia,China,44.0935,113.9448,1/30/20,19,0
Jiangsu,China,32.9711,119.455,1/30/20,129,0
Jiangxi,China,27.614,115.7221,1/30/20,162,0
Jilin,China,43.6661,126.1923,1/30/20,14,0
Liaoning,China,41.2956,122.6085,1/30/20,41,0
Macau,China,22.1667,113.55,1/30/20,7,0
Ningxia,China,37.2692,106.1655,1/30/20,17,0
Qinghai,China,35.7452,95.9956,1/30/20,8,0
Shaanxi,China,35.1917,108.8701,1/30/20,63,0
Shandong,China,36.3427,118.1498,1/30/20,158,0
Shanghai,China,31.202,121.4491,1/30/20,112,1
Shanxi,China,37.5777,112.2922,1/30/20,35,0
Sichuan,China,30.6171,102.7103,1/30/20,142,1
Tianjin,China,39.3054,117.323,1/30/20,31,0
Tibet,China,31.6927,88.0924,1/30/20,1,0
Xinjiang,China,41.1129,85.2401,1/30/20,14,0
Yunnan,China,24.974,101.487,1/30/20,70,0
Zhejiang,China,29.1832,120.0934,1/30/20,428,0
Anhui,China,31.8257,117.2264,1/31/20,237,0
Beijing,China,40.1824,116.4142,1/31/20,139,1
Chongqing,China,30.0572,107.874,1/31/20,211,0
Fujian,China,26.0789,117.9874,1/31/20,120,0
Gansu,China,37.8099,101.0583,1/31/20,29,0
Guangdong,China,23.3417,113.4244,1/31/20,436,0
Guangxi,China,23.8298,108.7881,1/31/20,87,0
Guizhou,China,26.8154,106.8748,1/31/20,29,0
Hainan,China,19.1959,109.7453,1/31/20,52,1
Hebei,China,39.549,116.1306,1/31/20,82,1
Heilongjiang,China,47.862,127.7615,1/31/20,59,2
Henan,China,33.882,113.614,1/31/20,352,2
Hong Kong,China,22.3,114.2,1/31/20,12,0
Hubei,China,30.9756,112.2707,1/31/20,5806,204
Hunan,China,27.6104,111.7088,1/31/20,332,0
Inner Mongolia,China,44.0935,113.9448,1/31/20,20,0
Jiangsu,China,32.9711,119.455,1/31/20,168,0
Jiangxi,China,27.614,115.7221,1/31/20,240,0
Jilin,China,43.6661,126.1923,1/31/20,14,0
Liaoning,China,41.2956,122.6085,1/31/20,48,0
Macau,China,22.1667,113.55,1/31/20,7,0
Ningxia,China,37.2692,106.1655,1/31/20,21,0
Qinghai,China,35.7452,95.9956,1/31/20,8,0
Shaanxi,China,35.1917,108.8701,1/31/20,87,0
Shandong,China,36.3427,118.1498,1/31/20,184,0
Shanghai,China,31.202,121.4491,1/31/20,135,1
Shanxi,China,37.5777,112.2922,1/31/20,39,0
Sichuan,China,30.6171,102.7103,1/31/20,177,1
Tianjin,China,39.3054,117.323,1/31/20,32,0
Tibet,China,31.6927,88.0924,1/31/20,1,0
Xinjiang,China,41.1129,85.2401,1/31/20,17,0
Yunnan,China,24.974,101.487,1/31/20,83,0
Zhejiang,China,29.1832,120.0934,1/31/20,538,0
Anhui,China,31.8257,117.2264,2/1/20,297,0
Beijing,China,40.1824,116.4142,2/1/20,168,1
Chongqing,China,30.0572,107.874,2/1/20,247,1
Fujian,China,26.0789,117.9874,2/1/20,144,0
Gansu,China,37.8099,101.0583,2/1/20,40,0
Guangdong,China,23.3417,113.4244,2/1/20,535,0
Guangxi,China,23.8298,108.7881,2/1/20,100,0
Guizhou,China,26.8154,106.8748,2/1/20,29,0
Hainan,China,19.1959,109.7453,2/1/20,62,1
Hebei,China,39.549,116.1306,2/1/20,96,1
Heilongjiang,China,47.862,127.7615,2/1/20,80,2
Henan,China,33.882,113.614,2/1/20,422,2
Hong Kong,China,22.3,114.2,2/1/20,13,0
Hubei,China,30.9756,112.2707,2/1/20,7153,249
Hunan,China,27.6104,111.7088,2/1/20,389,0
Inner Mongolia,China,44.0935,113.9448,2/1/20,23,0
Jiangsu,China,32.9711,119.455,2/1/20,202,0
Jiangxi,China,27.614,115.7221,2/1/20,286,0
Jilin,China,43.6661,126.1923,2/1/20,17,0
Liaoning,China,41.2956,122.6085,2/1/20,64,0
Macau,China,22.1667,113.55,2/1/20,7,0
Ningxia,China,37.2692,106.1655,2/1/20,26,0
Qinghai,China,35.7452,95.9956,2/1/20,9,0
Shaanxi,China,35.1917,108.8701,2/1/20,101,0
Shandong,China,36.3427,118.1498,2/1/20,206,0
Shanghai,China,31.202,121.4491,2/1/20,169,1
Shanxi,China,37.5777,112.2922,2/1/20,47,0
Sichuan,China,30.6171,102.7103,2/1/20,207,1
Tianjin,China,39.3054,117.323,2/1/20,41,0
Tibet,China,31.6927,88.0924,2/1/20,1,0
Xinjiang,China,41.1129,85.2401,2/1/20,18,0
Yunnan,China,24.974,101.487,2/1/20,93,0
Zhejiang,China,29.1832,120.0934,2/1/20,599,0
Anhui,China,31.8257,117.2264,2/2/20,340,0
Beijing,China,40.1824,116.4142,2/2/20,191,1
Chongqing,China,30.0572,107.874,2/2/20,300,2
Fujian,China,26.0789,117.9874,2/2/20,159,0
Gansu,China,37.8099,101.0583,2/2/20,51,0
Guangdong,China,23.3417,113.4244,2/2/20,632,0
Guangxi,China,23.8298,108.7881,2/2/20,111,0
Guizhou,China,26.8154,106.8748,2/2/20,38,0
Hainan,China,19.1959,109.7453,2/2/20,64,1
Hebei,China,39.549,116.1306,2/2/20,104,1
Heilongjiang,China,47.862,127.7615,2/2/20,95,2
Henan,China,33.882,113.614,2/2/20,493,2
Hong Kong,China,22.3,114.2,2/2/20,15,0
Hubei,China,30.9756,112.2707,2/2/20,11177,350
Hunan,China,27.6104,111.7088,2/2/20,463,0
Inner Mongolia,China,44.0935,113.9448,2/2/20,27,0
Jiangsu,China,32.9711,119.455,2/2/20,236,0
Jiangxi,China,27.614,115.7221,2/2/20,333,0
Jilin,China,43.6661,126.1923,2/2/20,23,0
Liaoning,China,41.2956,122.6085,2/2/20,70,0
Macau,China,22.1667,113.55,2/2/20,8,0
Ningxia,China,37.2692,106.1655,2/2/20,28,0
Qinghai,China,35.7452,95.9956,2/2/20,11,0
Shaanxi,China,35.1917,108.8701,2/2/20,116,0
Shandong,China,36.3427,118.1498,2/2/20,230,0
Shanghai,China,31.202,121.4491,2/2/20,182,1
Shanxi,China,37.5777,112.2922,2/2/20,66,0
Sichuan,China,30.6171,102.7103,2/2/20,231,1
Tianjin,China,39.3054,117.323,2/2/20,48,0
Tibet,China,31.6927,88.0924,2/2/20,1,0
Xinjiang,China,41.1129,85.2401,2/2/20,21,0
Yunnan,China,24.974,101.487,2/2/20,105,0
Zhejiang,China,29.1832,120.0934,2/2/20,661,0
Anhui,China,31.8257,117.2264,2/3/20,408,0
Beijing,China,40.1824,116.4142,2/3/20,212,1
Chongqing,China,30.0572,107.874,2/3/20,337,2
Fujian,China,26.0789,117.9874,2/3/20,179,0
Gansu,China,37.8099,101.0583,2/3/20,55,0
Guangdong,China,23.3417,113.4244,2/3/20,725,0
Guangxi,China,23.8298,108.7881,2/3/20,127,0
Guizhou,China,26.8154,106.8748,2/3/20,46,0
Hainan,China,19.1959,109.7453,2/3/20,72,1
Hebei,China,39.549,116.1306,2/3/20,113,1
Heilongjiang,China,47.862,127.7615,2/3/20,121,2
Henan,China,33.882,113.614,2/3/20,566,2
Hong Kong,China,22.3,114.2,2/3/20,15,0
Hubei,China,30.9756,112.2707,2/3/20,13522,414
Hunan,China,27.6104,111.7088,2/3/20,521,0
Inner Mongolia,China,44.0935,113.9448,2/3/20,34,0
Jiangsu,China,32.9711,119.455,2/3/20,271,0
Jiangxi,China,27.614,115.7221,2/3/20,391,0
Jilin,China,43.6661,126.1923,2/3/20,31,0
Liaoning,China,41.2956,122.6085,2/3/20,74,0
Macau,China,22.1667,113.55,2/3/20,8,0
Ningxia,China,37.2692,106.1655,2/3/20,31,0
Qinghai,China,35.7452,95.9956,2/3/20,13,0
Shaanxi,China,35.1917,108.8701,2/3/20,128,0
Shandong,China,36.3427,118.1498,2/3/20,259,0
Shanghai,China,31.202,121.4491,2/3/20,203,1
Shanxi,China,37.5777,112.2922,2/3/20,74,0
Sichuan,China,30.6171,102.7103,2/3/20,254,1
Tianjin,China,39.3054,117.323,2/3/20,60,0
Tibet,China,31.6927,88.0924,2/3/20,1,0
Xinjiang,China,41.1129,85.2401,2/3/20,24,0
Yunnan,China,24.974,101.487,2/3/20,117,0
Zhejiang,China,29.1832,120.0934,2/3/20,724,0
Anhui,China,31.8257,117.2264,2/4/20,480,0
Beijing,China,40.1824,116.4142,2/4/20,228,1
Chongqing,China,30.0572,107.874,2/4/20,366,2
Fujian,China,26.0789,117.9874,2/4/20,194,0
Gansu,China,37.8099,101.0583,2/4/20,57,0
Guangdong,China,23.3417,113.4244,2/4/20,813,0
Guangxi,China,23.8298,108.7881,2/4/20,139,0
Guizhou,China,26.8154,106.8748,2/4/20,58,0
Hainan,China,19.1959,109.7453,2/4/20,80,1
Hebei,China,39.549,116.1306,2/4/20,126,1
Heilongjiang,China,47.862,127.7615,2/4/20,155,2
Henan,China,33.882,113.614,2/4/20,675,2
Hong Kong,China,22.3,114.2,2/4/20,17,1
Hubei,China,30.9756,112.2707,2/4/20,16678,479
Hunan,China,27.6104,111.7088,2/4/20,593,0
Inner Mongolia,China,44.0935,113.9448,2/4/20,35,0
Jiangsu,China,32.9711,119.455,2/4/20,308,0
Jiangxi,China,27.614,115.7221,2/4/20,476,0
Jilin,China,43.6661,126.1923,2/4/20,42,0
Liaoning,China,41.2956,122.6085,2/4/20,81,0
Macau,China,22.1667,113.55,2/4/20,10,0
Ningxia,China,37.2692,106.1655,2/4/20,34,0
Qinghai,China,35.7452,95.9956,2/4/20,15,0
Shaanxi,China,35.1917,108.8701,2/4/20,142,0
Shandong,China,36.3427,118.1498,2/4/20,275,0
Shanghai,China,31.202,121.4491,2/4/20,219,1
Shanxi,China,37.5777,112.2922,2/4/20,81,0
Sichuan,China,30.6171,102.7103,2/4/20,282,1
Tianjin,China,39.3054,117.323,2/4/20,67,0
Tibet,China,31.6927,88.0924,2/4/20,1,0
Xinjiang,China,41.1129,85.2401,2/4/20,29,0
Yunnan,China,24.974,101.487,2/4/20,122,0
Zhejiang,China,29.1832,120.0934,2/4/20,829,0
Anhui,China,31.8257,117.2264,2/5/20,530,0
Beijing,China,40.1824,116.4142,2/5/20,253,1
Chongqing,China,30.0572,107.874,2/5/20,389,2
Fujian,China,26.0789,117.9874,2/5/20,205,0
Gansu,China,37.8099,101.0583,2/5/20,62,0
Guangdong,China,23.3417,113.4244,2/5/20,895,0
Guangxi,China,23.8298,108.7881,2/5/20,150,0
Guizhou,China,26.8154,106.8748,2/5/20,64,1
Hainan,China,19.1959,109.7453,2/5/20,99,1
Hebei,China,39.549,116.1306,2/5/20,135,1
Heilongjiang,China,47.862,127.7615,2/5/20,190,2
Henan,China,33.882,113.614,2/5/20,764,2
Hong Kong,China,22.3,114.2,2/5/20,21,1
Hubei,China,30.9756,112.2707,2/5/20,19665,549
Hunan,China,27.6104,111.7088,2/5/20,661,0
Inner Mongolia,China,44.0935,113.9448,2/5/20,42,0
Jiangsu,China,32.9711,119.455,2/5/20,341,0
Jiangxi,China,27.614,115.7221,2/5/20,548,0
Jilin,China,43.6661,126.1923,2/5/20,54,0
Liaoning,China,41.2956,122.6085,2/5/20,89,0
Macau,China,22.1667,113.55,2/5/20,10,0
Ningxia,China,37.2692,106.1655,2/5/20,34,0
Qinghai,China,35.7452,95.9956,2/5/20,17,0
Shaanxi,China,35.1917,108.8701,2/5/20,165,0
Shandong,China,36.3427,118.1498,2/5/20,307,0
Shanghai,China,31.202,121.4491,2/5/20,243,1
Shanxi,China,37.5777,112.2922,2/5/20,81,0
Sichuan,China,30.6171,102.7103,2/5/20,301,1
Tianjin,China,39.3054,117.323,2/5/20,69,1
Tibet,China,31.6927,88.0924,2/5/20,1,0
Xinjiang,China,41.1129,85.2401,2/5/20,32,0
Yunnan,China,24.974,101.487,2/5/20,128,0
Zhejiang,China,29.1832,120.0934,2/5/20,895,0
Anhui,China,31.8257,117.2264,2/6/20,591,0
Beijing,China,40.1824,116.4142,2/6/20,274,1
Chongqing,China,30.0572,107.874,2/6/20,411,2
Fujian,China,26.0789,117.9874,2/6/20,215,0
Gansu,China,37.8099,101.0583,2/6/20,62,0
Guangdong,China,23.3417,113.4244,2/6/20,970,0
Guangxi,China,23.8298,108.7881,2/6/20,168,0
Guizhou,China,26.8154,106.8748,2/6/20,71,1
Hainan,China,19.1959,109.7453,2/6/20,106,1
Hebei,China,39.549,116.1306,2/6/20,157,1
Heilongjiang,China,47.862,127.7615,2/6/20,227,3
Henan,China,33.882,113.614,2/6/20,851,2
